CustomerName;CustomerID;OrderDate;OrderVolume
Raul Casts;29641;2013-05-30;187487,825
Raul Casts;29641;2013-08-30;182018,6272
Ryan Calafato;29614;2012-05-30;170512,6689
Mandy Vance;30103;2012-06-30;166537,0808
Kirk DeGrasse;29701;2012-07-31;165028,7482
Jane McCarty;29998;2012-07-31;158056,5449
Kevin Liu;29957;2012-07-31;145741,8553
Anton Kirilov;29913;2013-06-30;145454,366
Joseph Cantoni;29624;2011-10-01;142312,2199
Robertson Lee;29940;2013-06-30;140042,1209
Edward Kozlowski;29923;2013-09-30;137721,3102
Joseph Cantoni;29624;2011-07-01;137343,2877
Robin McGuigan;29994;2012-05-30;135606,6769
Stacey Cereghino;29646;2012-05-30;132727,8506
Raul Casts;29641;2014-03-01;130907,0496
Phyllis Huntsman;29861;2011-07-01;130416,4829
Krishna Sunkammurali;30050;2013-07-31;130249,2557
Andrew Dixon;29715;2012-07-31;126992,2202
Lindsey Camacho;29617;2013-06-30;126852,1615
Steven Brown;29562;2012-07-31;126830,9608
Edward Kozlowski;29923;2014-03-31;126514,9931
Anton Kirilov;29913;2013-09-30;126230,418
Holly Dickson;29712;2013-06-30;125157,3774
Frank Mart¡nez;29987;2013-05-30;124397,7924
Roger Harui;29818;2013-09-30;124249,4919
Scott Culp;29689;2012-05-30;123497,0664
Robertson Lee;29940;2014-03-31;122916,4563
Ranjit Varkey Chudukatil;30111;2011-10-01;122500,6617
Edward Kozlowski;29923;2013-12-31;121823,1946
Blaine Dockter;29716;2012-06-30;121122,2311
Roger Harui;29818;2013-06-30;120955,8851
Elizabeth Sullivan;30046;2013-07-31;120512,2708
Lindsey Camacho;29617;2014-03-31;119641,1984
Kirk DeGrasse;29701;2013-07-31;119054,4623
Barbara Calone;29616;2013-03-30;118581,3375
Barbara Calone;29616;2012-06-30;118290,7501
Phyllis Huntsman;29861;2011-10-01;118206,3408
Kevin Liu;29957;2013-07-31;118040,1854
Anton Kirilov;29913;2013-12-31;117907,1665
Kirk DeGrasse;29701;2013-04-30;117819,3126
Ryan Danner;29693;2013-08-30;117506,1173
Steven Brown;29562;2011-10-31;117373,1283
Helen Dennis;29707;2012-07-31;116463,9102
Patricia Vasquez;30112;2013-03-30;116390,7349
Michael Graff;29793;2012-07-31;116295,0969
Stacie Mcanich;29995;2013-06-30;115124,6277
Krishna Sunkammurali;30050;2012-07-31;114753,0264
Phyllis Huntsman;29861;2012-03-30;114690,6064
Lola McCarthy;29997;2013-06-30;114536,7764
Frank Mart¡nez;29987;2014-03-01;114535,5552
James McCoy;30000;2012-05-30;114197,9702
Kirk DeGrasse;29701;2012-10-30;113231,0188
Ranjit Varkey Chudukatil;30111;2012-03-30;113042,7512
Robert Vessa;30117;2012-09-30;112859,9318
Mari Caldwell;29615;2013-06-30;112685,2793
Janet Gates;29772;2012-08-30;112076,4746
Teresa Atkinson;29525;2011-10-31;112067,3649
Stacey Cereghino;29646;2012-08-30;111922,8064
Valerie Hendricks;29827;2012-05-30;111633,3826
Carlton Carlisle;29629;2013-07-31;111328,3281
Marcia Sultan;30048;2013-05-30;111207,2228
Robin McGuigan;29994;2013-05-30;110798,8179
Andrew Dixon;29715;2012-10-30;110338,4978
Phyllis Allen;29507;2011-10-01;110276,574
Stacey Cereghino;29646;2013-02-28;110266,9588
Janet Gates;29772;2012-05-30;110233,1643
Carlton Carlisle;29629;2013-10-30;110007,8727
Margaret Vanderkamp;30107;2013-06-30;109948,7407
Yuping Tian;30074;2013-03-30;109900,1475
Blaine Dockter;29716;2012-09-30;109751,4891
Reuben D'sa;29722;2012-01-29;109340,8212
Dave Browning;29594;2013-02-28;108780,5231
Joseph Castellucio;29639;2012-07-31;108757,3001
Andrew Dixon;29715;2013-04-30;108152,5237
Edward Kozlowski;29923;2013-06-30;107757,383
Joseph Castellucio;29639;2013-04-30;107452,3406
Blaine Dockter;29716;2013-03-30;107441,6818
Yuping Tian;30074;2012-09-30;107394,7718
Barbara Calone;29616;2012-09-30;107136,3425
Robert Vessa;30117;2013-03-30;106618,2647
Raul Casts;29641;2013-11-30;106406,1069
Joseph Cantoni;29624;2012-03-30;106261,913
Phyllis Allen;29507;2012-03-30;105780,1033
Patricia Vasquez;30112;2012-06-30;105493,6317
Terry Eminhizer;29736;2013-07-31;105420,9481
Roger Harui;29818;2014-03-31;105415,7003
Robertson Lee;29940;2013-09-30;105403,8246
Mandy Vance;30103;2013-03-30;105304,6547
Scott Culp;29689;2013-05-30;105281,9588
Mary Billstrom;29564;2013-09-30;105120,5963
Mitch Kennedy;29924;2013-03-30;104751,3605
Conor Cunningham;29690;2011-10-31;104545,315
Marcia Sultan;30048;2012-05-30;104478,5601
Jon Grande;29796;2013-07-31;103883,1767
François Ferrier;29497;2014-03-01;103227,0017
Steven Brown;29562;2011-08-01;102525,9874
Stacey Cereghino;29646;2013-05-30;102017,9004
Nate Sun;30049;2013-07-31;101657,3019
Yuping Tian;30074;2012-06-30;101655,5719
Carlton Carlisle;29629;2014-05-01;101382,7138
Terry Eminhizer;29736;2014-05-01;101268,2686
Andrew Dixon;29715;2013-01-28;101069,7604
Joseph Cantoni;29624;2012-01-01;101020,1731
Reuben D'sa;29722;2012-10-30;101001,8154
Valerie Hendricks;29827;2013-02-28;100902,437
Reuben D'sa;29722;2012-07-31;100723,8578
Holly Dickson;29712;2012-06-30;100586,4124
Reuben D'sa;29722;2011-10-31;100237,4063
Dave Browning;29594;2012-05-30;99952,438
Yuping Tian;30074;2012-12-31;99583,9036
Ryan Calafato;29614;2013-02-28;99507,5528
Mandy Vance;30103;2012-09-30;99112,4483
Robert Bernacchi;29559;2013-07-31;99023,6736
Richard Bready;29580;2011-08-31;98932,197
Lola McCarthy;29997;2012-09-30;98786,051
Joseph Castellucio;29639;2012-10-30;98739,7144
Kevin Liu;29957;2013-04-30;98476,8845
Roger Harui;29818;2013-12-31;97928,6039
Brenda Diaz;29710;2011-10-31;97765,7518
Patricia Vasquez;30112;2012-09-30;97613,7308
Robert Vessa;30117;2012-06-30;97424,9805
Dave Browning;29594;2012-08-30;97401,3048
Lindsey Camacho;29617;2013-09-30;97248,3525
Joseph Castellucio;29639;2013-01-28;97224,9592
Robin McGuigan;29994;2013-02-28;97091,1112
Maxwell Amland;29515;2011-10-01;96937,2022
Phyllis Huntsman;29861;2012-01-01;96861,429
Mary Billstrom;29564;2013-06-30;96800,2419
Dave Browning;29594;2012-11-30;96740,1248
Kirk DeGrasse;29701;2014-05-01;96332,5002
Mandy Vance;30103;2013-06-30;95639,9897
Reuben D'sa;29722;2013-07-31;95426,0186
Jon Grande;29796;2013-10-30;95241,7217
Mitch Kennedy;29924;2012-06-30;95172,7396
Stacie Mcanich;29995;2014-03-31;94544,5399
Holly Dickson;29712;2014-03-31;93966,6591
Kathleen Garza;29770;2014-05-01;93791,205
Marcia Sultan;30048;2014-03-01;93410,8386
Valerie Hendricks;29827;2012-08-30;93003,7488
Anton Kirilov;29913;2014-03-31;92654,5975
Mitch Kennedy;29924;2012-12-31;92513,8498
J. Phillip Alexander;29504;2011-10-31;92470,0936
Lindsey Camacho;29617;2013-12-31;91987,8901
Andrew Dixon;29715;2013-07-31;91737,3896
Christopher Beck;29546;2013-07-31;91734,9579
Ryan Calafato;29614;2013-05-30;91656,9541
Conor Cunningham;29690;2011-08-01;91512,8507
Janet Gates;29772;2012-11-30;91046,0785
François Ferrier;29497;2012-05-30;90890,636
Kathleen Garza;29770;2013-10-30;90884,1535
Kirk DeGrasse;29701;2013-01-28;90736,4249
Baris Cetinok;29647;2013-02-28;90675,5705
Andrew Dixon;29715;2014-05-01;90602,7588
Valerie Hendricks;29827;2012-11-30;90186,951
Helen Dennis;29707;2012-10-30;90167,3302
Stefan Delmarco;29703;2012-06-30;89930,0449
Krishna Sunkammurali;30050;2014-05-01;89908,8786
Frances Adams;29489;2013-05-30;89678,1892
Stacie Mcanich;29995;2013-09-30;89661,1827
Kevin Liu;29957;2012-10-30;89069,5444
Mitch Kennedy;29924;2012-09-30;89031,0812
Blaine Dockter;29716;2012-12-31;89028,3748
Jane McCarty;29998;2013-04-30;88914,2997
Steven Brown;29562;2012-01-29;88863,9705
Jane McCarty;29998;2012-10-30;88767,0192
Robert Vessa;30117;2013-06-30;88730,5249
Robert Vessa;30117;2012-12-31;88479,4098
